msg_id,t_db_ack_ms
fire_system_esp32_412956,1769625010286
fire_system_esp32_417936,1769625015192
fire_system_esp32_417956,1769625015293
fire_system_esp32_422936,1769625020196
fire_system_esp32_422956,1769625020291
fire_system_esp32_427936,1769625025192
fire_system_esp32_427956,1769625025290
fire_system_esp32_432936,1769625030188
fire_system_esp32_432956,1769625030289
fire_system_esp32_437936,1769625035180
fire_system_esp32_437956,1769625035278
fire_system_esp32_442936,1769625040185
fire_system_esp32_442956,1769625040296
fire_system_esp32_447936,1769625045577
fire_system_esp32_447956,1769625045671
fire_system_esp32_452936,1769625050186
fire_system_esp32_452956,1769625050286
fire_system_esp32_457936,1769625055188
fire_system_esp32_457956,1769625055288
fire_system_esp32_462936,1769625060201
fire_system_esp32_462956,1769625060298
fire_system_esp32_467936,1769625065182
fire_system_esp32_467956,1769625065280
fire_system_esp32_472936,1769625070183
fire_system_esp32_472956,1769625070280
fire_system_esp32_477936,1769625075184
fire_system_esp32_477956,1769625075290
fire_system_esp32_482936,1769625080196
fire_system_esp32_482956,1769625080303
fire_system_esp32_487936,1769625085195
fire_system_esp32_487956,1769625085293
fire_system_esp32_492936,1769625090192
fire_system_esp32_492956,1769625090291
fire_system_esp32_497936,1769625095192
fire_system_esp32_497956,1769625095293
fire_system_esp32_502936,1769625100200
fire_system_esp32_502956,1769625100301
fire_system_esp32_507936,1769625105179
fire_system_esp32_507956,1769625105276
fire_system_esp32_512936,1769625110185
fire_system_esp32_512956,1769625110277
fire_system_esp32_517936,1769625115169
fire_system_esp32_517956,1769625115266
fire_system_esp32_522936,1769625120180
fire_system_esp32_522956,1769625120284
fire_system_esp32_527936,1769625125193
fire_system_esp32_527956,1769625125287
fire_system_esp32_532936,1769625130185
fire_system_esp32_532956,1769625130282
fire_system_esp32_537936,1769625135176
fire_system_esp32_537956,1769625135274
fire_system_esp32_542936,1769625140194
fire_system_esp32_542956,1769625140293
fire_system_esp32_547946,1769625145184
fire_system_esp32_547956,1769625145286
fire_system_esp32_552946,1769625150186
fire_system_esp32_552966,1769625150281
fire_system_esp32_557946,1769625155192
fire_system_esp32_557966,1769625155292
fire_system_esp32_562946,1769625160201
fire_system_esp32_562966,1769625160306
fire_system_esp32_567946,1769625165194
fire_system_esp32_687946,1769625285212
fire_system_esp32_687976,1769625285319
fire_system_esp32_692946,1769625290201
fire_system_esp32_692976,1769625290296
fire_system_esp32_697946,1769625295203
fire_system_esp32_697976,1769625295303
fire_system_esp32_702946,1769625300190
fire_system_esp32_702976,1769625300284
fire_system_esp32_707946,1769625305183
fire_system_esp32_707976,1769625305279
fire_system_esp32_712946,1769625310185
fire_system_esp32_712976,1769625310284
fire_system_esp32_717946,1769625315181
fire_system_esp32_717976,1769625315278
fire_system_esp32_722946,1769625320204
fire_system_esp32_722976,1769625320313
fire_system_esp32_727946,1769625325189
fire_system_esp32_727976,1769625325285
fire_system_esp32_732946,1769625330201
fire_system_esp32_732976,1769625330297
fire_system_esp32_737976,1769625335124
fire_system_esp32_737946,1769625335319
fire_system_esp32_742946,1769625340193
fire_system_esp32_742976,1769625340291
fire_system_esp32_747946,1769625345181
fire_system_esp32_747976,1769625345278
fire_system_esp32_752946,1769625350195
fire_system_esp32_752976,1769625350290
fire_system_esp32_757946,1769625355181
fire_system_esp32_757976,1769625355276
fire_system_esp32_762946,1769625360192
fire_system_esp32_762976,1769625360291
fire_system_esp32_767946,1769625365204
fire_system_esp32_767976,1769625365316
fire_system_esp32_13039,1769703220598
fire_system_esp32_13049,1769703220619
fire_system_esp32_18039,1769703225592
fire_system_esp32_18059,1769703225613
fire_system_esp32_23039,1769703230588
fire_system_esp32_23059,1769703230608
fire_system_esp32_28039,1769703235575
fire_system_esp32_28069,1769703235596
fire_system_esp32_33039,1769703240579
fire_system_esp32_33069,1769703240600
fire_system_esp32_38039,1769703245571
fire_system_esp32_38069,1769703245592
fire_system_esp32_43039,1769703250578
fire_system_esp32_43069,1769703250599
fire_system_esp32_48039,1769703255580
fire_system_esp32_48069,1769703255601
fire_system_esp32_53039,1769703260577
fire_system_esp32_53069,1769703260598
fire_system_esp32_58039,1769703265577
fire_system_esp32_58069,1769703265598
fire_system_esp32_63039,1769703270579
fire_system_esp32_63069,1769703270599
fire_system_esp32_68039,1769703275573
fire_system_esp32_68069,1769703275593
fire_system_esp32_73039,1769703280571
fire_system_esp32_73069,1769703280592
fire_system_esp32_78039,1769703285581
fire_system_esp32_78069,1769703285602
fire_system_esp32_83039,1769703290580
fire_system_esp32_83069,1769703290601
fire_system_esp32_88039,1769703295576
fire_system_esp32_88069,1769703295596
fire_system_esp32_93039,1769703300571
fire_system_esp32_93069,1769703300592
fire_system_esp32_98039,1769703305577
fire_system_esp32_98069,1769703305598
fire_system_esp32_103039,1769703310578
fire_system_esp32_103069,1769703310600
fire_system_esp32_108039,1769703315579
fire_system_esp32_108069,1769703315600
fire_system_esp32_113039,1769703320572
fire_system_esp32_113069,1769703320593
fire_system_esp32_118039,1769703325579
fire_system_esp32_118069,1769703325601
fire_system_esp32_123039,1769703330578
fire_system_esp32_123069,1769703330598
fire_system_esp32_128039,1769703335577
fire_system_esp32_128069,1769703335598
fire_system_esp32_133039,1769703340574
fire_system_esp32_133069,1769703340595
fire_system_esp32_138039,1769703345572
fire_system_esp32_138069,1769703345593
fire_system_esp32_143039,1769703350581
fire_system_esp32_143069,1769703350603
fire_system_esp32_148039,1769703355573
fire_system_esp32_148069,1769703355593
fire_system_esp32_153039,1769703360591
fire_system_esp32_153069,1769703360611
fire_system_esp32_158039,1769703365576
fire_system_esp32_158069,1769703365600
fire_system_esp32_163039,1769703370571
fire_system_esp32_163069,1769703370592
fire_system_esp32_168039,1769703375584
fire_system_esp32_168069,1769703375605
fire_system_esp32_173069,1769703380581
fire_system_esp32_173039,1769703380622
fire_system_esp32_178039,1769703385581
fire_system_esp32_178069,1769703385602
fire_system_esp32_183049,1769703390587
fire_system_esp32_183069,1769703390608
fire_system_esp32_188049,1769703395589
fire_system_esp32_188069,1769703395610
fire_system_esp32_193049,1769703400579
fire_system_esp32_193069,1769703400600
fire_system_esp32_198069,1769703405578
fire_system_esp32_198049,1769703405619
fire_system_esp32_203049,1769703410593
fire_system_esp32_203069,1769703410614
fire_system_esp32_208049,1769703415581
fire_system_esp32_208069,1769703415601
fire_system_esp32_213049,1769703420590
fire_system_esp32_213069,1769703420612
fire_system_esp32_218049,1769703425584
fire_system_esp32_218069,1769703425605
fire_system_esp32_223049,1769703430585
fire_system_esp32_223069,1769703430606
fire_system_esp32_228049,1769703435588
fire_system_esp32_228069,1769703435608
fire_system_esp32_233049,1769703440589
fire_system_esp32_233069,1769703440609
fire_system_esp32_238049,1769703445580
fire_system_esp32_238069,1769703445601
fire_system_esp32_243049,1769703450581
fire_system_esp32_243069,1769703450602
fire_system_esp32_248049,1769703455582
fire_system_esp32_248069,1769703455604
fire_system_esp32_253049,1769703460578
fire_system_esp32_253069,1769703460599
fire_system_esp32_258049,1769703465588
fire_system_esp32_258069,1769703465609
fire_system_esp32_263049,1769703470577
fire_system_esp32_263069,1769703470597
fire_system_esp32_268049,1769703475592
fire_system_esp32_268069,1769703475613
fire_system_esp32_273049,1769703480582
fire_system_esp32_273069,1769703480603
fire_system_esp32_278049,1769703485580
fire_system_esp32_278069,1769703485600
fire_system_esp32_283049,1769703490584
